customer_id,complaints_last_6_months,support_tickets_last_6_months,rating_last_purchase,NPS_score
1,1,0,4,7
2,0,0,5,4
3,1,0,2,3
4,0,1,4,10
5,0,1,4,5
6,0,1,4,7
7,0,0,4,9
8,0,2,5,9
9,0,1,5,5
10,0,0,5,6
11,0,0,5,7
12,0,0,2,6
13,1,1,2,10
14,0,0,3,4
15,0,1,3,9
16,0,1,4,8
17,0,0,3,7
18,0,0,4,9
19,0,0,5,2
20,0,0,3,1
21,0,1,3,9
22,0,0,5,5
23,0,0,2,0
24,0,0,5,9
25,1,1,4,10
26,0,0,4,2
27,0,1,5,8
28,0,0,2,3
29,1,1,3,3
30,0,0,2,6
31,0,0,5,3
32,0,1,2,6
33,0,2,1,5
34,0,1,2,6
35,0,0,2,9
36,0,0,1,8
37,1,0,4,7
38,0,1,5,9
39,0,2,5,5
40,0,1,5,5
41,0,2,1,4
42,0,1,4,3
43,1,1,4,9
44,0,0,5,3
45,0,0,3,8
46,0,0,3,6
47,0,0,2,7
48,0,0,4,5
49,1,0,4,4
50,0,2,3,3
51,0,0,4,4
52,0,0,4,9
53,0,0,4,9
54,0,1,3,4
55,1,0,4,7
56,0,0,5,6
57,0,0,3,7
58,1,0,1,7
59,0,0,5,1
60,0,2,5,2
61,0,0,3,7
62,0,0,5,5
63,0,0,4,8
64,1,0,5,3
65,0,1,5,8
66,0,3,4,5
67,0,0,5,4
68,0,0,5,8
69,0,0,4,5
70,1,0,5,7
71,0,0,4,7
72,0,0,4,7
73,0,0,4,2
74,0,3,4,7
75,0,0,5,8
76,0,1,3,6
77,0,1,5,6
78,0,0,3,1
79,0,0,3,10
80,0,1,4,10
81,0,1,4,8
82,0,0,5,3
83,0,1,4,7
84,1,0,4,5
85,0,0,2,6
86,0,0,2,2
87,1,1,4,8
88,0,0,4,7
89,0,2,4,4
90,1,1,4,7
91,0,1,4,6
92,0,2,4,6
93,0,1,2,2
94,0,0,2,1
95,0,1,2,5
96,0,1,3,1
97,0,0,2,5
98,0,0,3,5
99,0,0,2,5
100,0,0,4,8
101,0,1,5,6
102,0,0,4,2
103,0,1,2,6
104,1,0,2,2
105,0,0,5,6
106,0,0,2,8
107,0,2,5,8
108,0,2,3,6
109,0,0,4,9
110,0,0,4,2
111,0,0,5,9
112,1,0,4,9
113,0,1,3,9
114,0,0,4,6
115,0,0,4,2
116,0,2,5,6
117,1,0,5,6
118,0,1,4,4
119,1,0,5,8
120,0,1,5,1
121,0,0,3,9
122,0,0,2,7
123,0,0,4,9
124,0,0,3,5
125,0,0,4,3
126,0,1,3,5
127,0,0,5,9
128,0,0,3,5
129,0,0,3,0
130,0,0,3,7
131,0,0,5,8
132,0,0,4,7
133,0,1,2,8
134,0,2,2,7
135,0,0,5,5
136,0,0,4,7
137,1,0,3,7
138,0,2,3,7
139,0,0,4,8
140,0,0,2,9
141,0,0,3,1
142,0,0,3,8
143,1,0,5,7
144,0,0,3,10
145,0,0,3,3
146,0,0,5,7
147,0,0,5,5
148,0,1,5,5
149,0,1,2,7
150,0,0,4,7
151,0,0,4,7
152,0,0,4,9
153,0,0,5,6
154,0,1,4,8
155,0,0,4,8
156,0,2,5,3
157,0,0,3,6
158,1,0,3,7
159,0,0,3,3
160,2,1,3,7
161,0,3,3,7
162,0,0,3,4
163,0,0,5,9
164,1,1,3,9
165,0,1,5,5
166,0,0,5,8
167,0,0,2,7
168,1,1,5,7
169,0,1,3,7
170,0,0,3,5
171,0,0,4,1
172,0,0,2,6
173,0,0,5,9
174,0,1,5,1
175,0,0,2,7
176,0,0,3,2
177,0,1,1,7
178,0,1,3,6
179,0,2,4,7
180,0,1,4,6
181,0,0,4,3
182,0,0,3,10
183,0,0,4,10
184,1,0,5,4
185,0,0,3,8
186,0,1,4,8
187,0,1,3,6
188,0,0,4,9
189,0,0,5,8
190,0,0,4,7
191,2,0,5,7
192,0,0,3,7
193,0,0,4,5
194,0,0,3,9
195,0,0,5,8
196,1,0,5,7
197,0,1,3,7
198,0,0,3,3
199,0,0,4,8
200,0,0,3,10
201,0,1,3,6
202,0,0,2,7
203,0,1,3,4
204,0,0,3,4
205,0,0,3,8
206,0,0,5,3
207,0,0,1,4
208,0,2,5,6
209,1,0,5,3
210,0,0,4,3
211,0,1,5,0
212,0,0,4,9
213,1,0,5,4
214,0,1,3,1
215,0,1,4,9
216,0,0,4,3
217,0,0,5,8
218,0,1,5,7
219,0,0,5,6
220,1,1,3,6
221,0,0,4,5
222,0,0,5,7
223,1,0,5,6
224,0,0,4,7
225,0,0,5,5
226,0,0,4,5
227,0,0,5,6
228,0,0,2,5
229,0,0,1,9
230,0,2,5,5
231,0,0,2,4
232,0,0,5,5
233,0,0,3,9
234,0,1,4,2
235,0,1,4,9
236,0,1,2,7
237,1,0,3,7
238,0,1,4,2
239,0,1,5,5
240,0,0,3,9
241,1,3,4,0
242,0,1,5,5
243,0,0,4,6
244,1,0,3,6
245,0,1,5,8
246,0,0,5,6
247,1,0,1,7
248,0,1,4,3
249,1,0,5,4
250,0,1,4,9
251,0,0,4,7
252,0,1,3,7
253,0,0,4,5
254,0,2,4,9
255,1,1,4,3
256,1,1,4,8
257,0,1,1,4
258,0,0,2,8
259,0,0,5,10
260,0,1,4,7
261,0,1,5,8
262,0,0,4,7
263,0,0,2,6
264,0,0,4,5
265,0,2,3,7
266,0,0,4,9
267,1,0,4,9
268,1,1,4,5
269,0,2,1,9
270,0,1,2,4
271,0,0,4,7
272,0,3,3,6
273,0,0,2,5
274,1,1,2,8
275,0,0,5,8
276,0,1,4,8
277,0,0,3,7
278,0,1,4,4
279,1,0,5,7
280,0,0,5,4
281,0,0,5,9
282,0,1,3,7
283,0,0,4,6
284,0,0,5,3
285,0,1,5,7
286,0,0,2,2
287,0,0,3,2
288,0,0,2,2
289,0,1,5,9
290,1,0,4,6
291,0,0,5,3
292,0,0,5,8
293,1,1,5,6
294,0,1,2,9
295,3,0,4,2
296,0,1,4,5
297,0,0,3,10
298,1,0,4,7
299,0,0,3,6
300,0,0,4,8
301,0,1,3,7
302,1,1,5,3
303,0,0,3,7
304,1,2,5,4
305,0,1,5,3
306,0,0,2,0
307,1,0,2,6
308,0,0,4,7
309,0,0,3,5
310,0,0,5,7
311,1,0,2,7
312,0,1,5,8
313,0,1,4,5
314,0,0,4,3
315,0,0,4,5
316,2,0,4,0
317,0,1,3,3
318,0,0,4,4
319,0,1,3,5
320,0,0,3,9
321,0,0,2,5
322,2,0,4,6
323,0,0,4,6
324,0,0,3,4
325,1,1,2,4
326,0,0,2,5
327,1,1,4,7
328,0,1,4,9
329,0,0,5,5
330,0,0,4,6
331,0,0,2,2
332,0,0,2,7
333,0,1,5,7
334,0,2,5,7
335,0,1,4,9
336,0,0,3,5
337,0,1,3,6
338,0,1,3,7
339,0,1,4,7
340,0,0,5,5
341,0,1,4,7
342,0,0,4,0
343,0,1,4,8
344,0,0,1,7
345,1,2,3,5
346,1,1,4,5
347,0,1,4,4
348,0,0,4,5
349,0,0,3,8
350,0,0,3,8
351,0,0,4,4
352,0,0,3,7
353,0,1,3,4
354,0,0,5,9
355,0,0,3,9
356,0,1,4,6
357,0,0,4,1
358,0,0,5,5
359,0,1,4,6
360,0,1,4,2
361,0,1,3,10
362,0,0,3,5
363,0,0,3,7
364,0,0,5,9
365,0,0,5,3
366,0,0,3,5
367,0,0,2,9
368,0,1,3,1
369,0,0,5,5
370,0,0,4,7
371,0,0,3,2
372,0,1,4,3
373,0,0,3,6
374,0,1,4,3
375,0,1,4,5
376,0,0,4,6
377,0,0,4,4
378,0,0,1,6
379,0,0,4,5
380,0,0,5,3
381,0,1,2,6
382,0,0,5,1
383,0,0,4,9
384,0,0,5,8
385,0,0,3,6
386,0,1,4,0
387,0,0,3,1
388,0,2,5,8
389,0,1,5,5
390,1,2,5,4
391,0,0,5,6
392,1,0,5,6
393,0,1,5,3
394,0,1,5,7
395,0,1,3,9
396,2,0,4,6
397,2,0,3,8
398,0,0,3,4
399,0,2,4,8
400,0,0,4,2
401,0,0,5,6
402,0,0,3,7
403,0,1,4,4
404,2,1,4,3
405,0,0,3,5
406,0,0,2,6
407,0,1,5,6
408,0,0,4,6
409,0,1,5,6
410,0,0,5,6
411,0,0,4,9
412,0,0,3,6
413,0,1,5,10
414,0,0,2,5
415,0,0,4,5
416,0,1,5,7
417,0,0,3,5
418,0,0,4,6
419,0,0,5,3
420,0,1,1,5
421,0,1,5,7
422,0,0,3,10
423,0,1,5,5
424,0,0,4,5
425,1,0,1,6
426,0,0,4,2
427,0,0,4,5
428,0,1,3,8
429,0,0,4,9
430,0,1,5,10
431,0,1,2,6
432,0,0,5,9
433,0,0,4,10
434,0,1,5,6
435,0,0,5,2
436,0,1,5,3
437,0,0,3,7
438,0,1,4,8
439,0,0,3,8
440,0,0,5,5
441,0,1,3,9
442,0,1,4,2
443,1,0,4,8
444,0,1,5,9
445,0,0,3,10
446,0,2,3,1
447,0,1,2,5
448,0,0,4,5
449,0,0,4,2
450,0,1,5,6
451,0,0,3,8
452,0,0,4,8
453,0,0,4,7
454,0,1,5,8
455,0,0,5,7
456,0,0,5,9
457,1,0,4,7
458,0,0,5,5
459,0,1,5,8
460,0,1,5,8
461,0,0,5,3
462,0,0,4,9
463,0,1,5,5
464,0,0,3,7
465,0,1,4,5
466,0,2,4,6
467,1,1,4,4
468,1,1,2,4
469,1,0,3,6
470,0,1,1,4
471,0,1,4,6
472,0,0,4,7
473,0,1,4,5
474,0,0,5,8
475,0,1,4,5
476,0,2,3,9
477,0,0,5,7
478,1,1,5,4
479,0,1,3,6
480,0,0,3,1
481,0,0,2,3
482,0,0,5,7
483,0,2,5,7
484,1,0,5,3
485,0,2,4,5
486,0,0,3,6
487,0,1,5,5
488,0,0,3,7
489,1,0,5,8
490,0,0,5,4
491,0,0,5,6
492,0,0,4,7
493,0,0,3,10
494,0,0,4,6
495,0,1,2,0
496,0,0,3,8
497,0,0,3,1
498,0,2,2,4
499,0,0,3,4
500,0,0,2,7
501,0,0,1,8
502,1,0,3,5
503,0,1,3,6
504,0,0,3,8
505,0,0,4,9
506,0,0,3,9
507,0,0,5,1
508,0,0,2,9
509,0,0,5,7
510,0,0,5,4
511,0,1,4,9
512,0,0,4,3
513,0,0,4,5
514,0,0,5,6
515,0,2,5,6
516,0,0,3,8
517,0,0,4,8
518,0,0,2,1
519,0,1,5,9
520,0,0,5,7
521,1,0,2,8
522,0,0,5,7
523,0,0,4,3
524,0,1,5,8
525,0,1,2,9
526,0,0,5,6
527,0,1,4,9
528,0,1,4,8
529,0,0,2,7
530,0,0,3,6
531,0,0,3,8
532,0,1,3,7
533,0,0,3,5
534,1,0,3,8
535,0,0,4,6
536,2,1,3,6
537,0,0,4,10
538,1,0,4,8
539,0,0,4,9
540,0,0,1,7
541,0,0,4,2
542,0,2,4,5
543,0,1,5,6
544,0,0,5,5
545,0,1,4,2
546,0,0,4,5
547,0,0,3,9
548,1,1,4,5
549,0,1,5,6
550,0,0,3,10
551,0,0,4,5
552,0,2,3,5
553,0,0,4,6
554,0,0,4,9
555,0,0,5,7
556,0,4,5,5
557,0,1,3,8
558,1,0,5,7
559,0,0,4,6
560,0,1,5,7
561,0,0,4,10
562,0,2,3,7
563,0,1,4,8
564,0,0,5,5
565,0,0,2,2
566,0,1,2,8
567,0,2,5,5
568,0,1,4,9
569,0,0,2,9
570,0,0,2,7
571,0,1,4,4
572,0,1,5,5
573,1,1,5,4
574,0,1,4,5
575,0,0,5,4
576,0,0,3,6
577,0,2,4,8
578,0,0,5,6
579,0,0,3,2
580,0,0,3,3
581,0,0,4,10
582,1,0,4,7
583,0,2,4,6
584,0,0,2,10
585,0,0,4,6
586,0,0,1,8
587,1,1,3,6
588,0,0,2,9
589,0,0,2,7
590,0,1,1,8
591,0,1,5,8
592,0,0,5,7
593,0,2,4,3
594,0,2,5,5
595,0,0,4,0
596,0,1,4,1
597,0,1,5,7
598,0,1,5,10
599,0,0,2,4
600,0,0,5,8
601,0,1,5,7
602,0,0,2,7
603,0,0,2,8
604,0,0,5,7
605,0,1,4,9
606,0,1,5,10
607,0,0,4,8
608,0,0,4,2
609,0,0,4,7
610,0,1,5,10
611,1,0,2,9
612,0,3,5,4
613,2,0,4,9
614,0,0,2,3
615,0,0,2,2
616,0,1,5,1
617,0,0,3,10
618,0,2,3,4
619,0,1,4,3
620,1,0,3,4
621,0,0,1,7
622,0,1,3,3
623,0,2,2,7
624,0,1,4,1
625,0,0,2,5
626,0,1,5,8
627,0,0,5,5
628,1,1,5,5
629,0,0,4,3
630,0,1,5,7
631,1,0,4,5
632,0,0,2,4
633,0,0,4,0
634,0,1,5,7
635,0,0,5,6
636,0,0,3,7
637,0,0,2,6
638,0,0,4,6
639,1,1,4,9
640,1,1,2,7
641,0,0,4,8
642,0,0,4,9
643,0,1,4,6
644,0,2,2,5
645,0,1,4,3
646,0,0,5,4
647,0,1,3,3
648,1,0,3,8
649,1,0,2,5
650,0,0,2,9
651,0,0,4,7
652,0,1,3,7
653,0,2,5,5
654,0,0,1,1
655,0,0,5,7
656,0,4,5,0
657,0,1,3,5
658,0,0,5,10
659,0,0,2,6
660,0,0,4,7
661,0,0,4,3
662,0,0,4,2
663,0,0,4,6
664,0,1,4,7
665,0,0,4,7
666,0,1,5,9
667,0,0,4,7
668,0,0,3,0
669,0,1,4,8
670,0,1,5,10
671,0,0,3,1
672,0,0,4,3
673,0,0,5,5
674,0,0,4,8
675,0,0,3,6
676,0,1,4,7
677,0,0,4,1
678,0,0,1,5
679,0,0,4,4
680,0,0,5,8
681,1,2,4,3
682,0,0,4,6
683,0,1,4,1
684,0,1,1,7
685,0,2,4,1
686,0,0,2,9
687,0,0,5,3
688,0,0,5,3
689,0,1,4,0
690,1,1,4,1
691,0,1,2,3
692,0,0,4,5
693,0,0,5,7
694,1,0,3,10
695,0,1,5,8
696,1,1,3,7
697,0,0,5,6
698,0,0,5,8
699,0,0,4,0
700,0,0,1,5
701,0,1,2,8
702,0,0,5,7
703,0,1,5,8
704,0,0,5,8
705,0,1,5,5
706,0,0,4,9
707,0,0,2,8
708,0,1,2,5
709,0,2,3,9
710,0,0,3,3
711,0,1,5,6
712,1,0,5,8
713,0,0,4,8
714,0,1,4,5
715,0,0,1,8
716,0,1,5,2
717,0,1,3,8
718,0,1,1,7
719,0,1,3,5
720,0,0,3,10
721,0,0,5,8
722,1,0,3,9
723,0,0,5,5
724,0,0,4,8
725,0,2,4,1
726,0,0,3,10
727,0,0,4,1
728,0,0,4,4
729,0,0,4,6
730,1,0,4,5
731,0,0,5,9
732,0,0,5,7
733,1,1,5,5
734,0,1,2,6
735,0,1,5,5
736,0,2,4,7
737,0,1,4,9
738,1,0,4,8
739,0,2,5,3
740,0,0,4,7
741,0,0,3,5
742,1,0,2,1
743,0,0,4,5
744,2,0,4,6
745,1,1,4,1
746,0,1,4,8
747,0,0,3,9
748,1,0,4,6
749,0,0,4,2
750,0,0,1,7
751,2,0,3,2
752,0,0,4,9
753,0,2,5,9
754,0,1,5,10
755,0,0,5,2
756,0,0,4,3
757,1,0,2,7
758,0,1,3,4
759,0,1,5,5
760,0,0,3,6
761,0,0,5,6
762,0,0,4,8
763,0,0,4,5
764,1,0,4,7
765,1,0,4,8
766,0,1,5,5
767,0,1,1,7
768,0,0,1,6
769,0,0,3,9
770,0,0,3,7
771,0,0,5,2
772,0,2,4,7
773,0,0,5,5
774,0,1,3,5
775,0,0,4,6
776,0,0,5,2
777,0,0,3,1
778,0,1,4,4
779,0,0,5,5
780,0,0,5,7
781,0,0,5,5
782,1,0,3,8
783,0,0,3,7
784,0,1,3,8
785,0,3,5,7
786,0,0,3,5
787,0,1,3,5
788,1,0,4,2
789,0,1,4,6
790,0,0,5,7
791,1,0,5,9
792,0,1,5,10
793,0,0,5,2
794,0,0,4,8
795,0,0,5,7
796,0,0,4,5
797,0,3,5,7
798,0,0,3,1
799,1,1,4,9
800,0,0,4,5
801,0,0,5,6
802,0,0,2,4
803,0,0,5,7
804,1,2,2,9
805,0,0,3,5
806,0,0,5,7
