customer_id,total_orders,avg_order_value,last_order_value,days_since_last_purchase,days_between_orders_avg,sku_diversity,return_rate,churned
1,1,800.45,717.94,3,273.5,1,0.28,0
2,7,406.17,329.69,43,7.9,7,0.039,0
3,3,759.02,580.16,10,57.7,1,0.056,0
4,5,681.46,736.86,74,63.0,1,0.005,0
5,1,961.45,1221.55,67,365.0,1,0.041,0
6,3,704.89,838.81,78,151.5,3,0.036,0
7,2,827.2,779.36,455,301.1,2,0.001,0
8,5,776.7,746.78,37,52.1,5,0.066,0
9,2,684.52,906.07,77,35.8,2,0.038,0
10,2,867.24,728.7,165,278.5,2,0.027,0
11,2,756.98,504.38,292,209.3,2,0.001,0
12,3,834.8,876.79,48,204.4,2,0.09,0
13,4,560.83,656.46,5,24.1,4,0.047,0
14,2,779.24,391.49,508,272.8,2,0.038,0
15,7,820.26,885.6,32,42.7,7,0.225,0
16,6,536.65,415.54,17,56.7,4,0.149,0
17,2,688.92,493.47,285,142.8,2,0.073,0
18,2,439.25,413.84,30,189.1,1,0.025,0
19,3,461.95,355.26,90,26.1,3,0.157,0
20,4,691.02,446.4,144,70.6,4,0.005,0
21,4,970.04,991.04,135,108.1,4,0.162,0
22,4,981.63,972.93,3,11.7,4,0.084,0
23,3,654.26,429.46,27,188.5,2,0.063,0
24,6,557.28,400.46,175,34.6,5,0.01,1
25,2,839.07,917.1,116,156.1,2,0.125,0
26,2,399.47,441.69,167,298.0,2,0.072,0
27,7,639.52,301.07,37,4.7,2,0.067,0
28,2,587.77,439.24,196,181.9,1,0.021,0
29,5,687.05,675.7,30,141.4,5,0.101,0
30,3,906.3,983.0,31,51.8,3,0.082,0
31,6,311.76,337.37,467,88.0,6,0.004,1
32,4,746.55,836.58,17,133.7,3,0.013,0
33,4,751.49,643.21,148,29.8,3,0.121,0
34,5,690.85,715.43,234,64.4,3,0.203,0
35,5,743.71,685.12,112,71.1,5,0.089,0
36,1,777.14,690.03,156,304.8,1,0.197,0
37,7,723.75,504.95,0,83.2,7,0.155,0
38,3,394.75,418.22,121,216.3,1,0.063,0
39,2,566.62,379.72,193,97.1,2,0.074,0
40,4,939.64,719.67,135,83.7,4,0.003,0
41,4,524.95,597.02,19,56.6,4,0.223,0
42,3,712.09,688.46,94,213.2,3,0.07,0
43,4,591.8,716.26,82,99.3,4,0.075,0
44,1,789.22,736.11,82,75.6,1,0.078,0
45,3,669.6,595.21,213,116.5,3,0.099,0
46,2,798.21,981.32,172,185.3,2,0.039,0
47,5,757.46,696.83,13,112.4,3,0.153,0
48,4,641.53,677.62,1,163.3,4,0.046,0
49,7,365.64,353.76,10,101.3,4,0.162,0
50,4,570.04,583.74,4,29.8,4,0.005,0
51,4,519.06,496.07,59,49.2,2,0.051,0
52,2,517.93,608.87,48,297.7,2,0.022,0
53,4,775.53,786.09,0,129.4,3,0.024,0
54,4,1003.69,937.01,8,129.6,4,0.109,0
55,3,330.22,347.0,60,128.4,3,0.065,0
56,2,474.06,327.29,223,113.4,1,0.098,0
57,7,734.81,883.64,207,21.4,6,0.11,0
58,3,661.99,462.53,6,192.3,3,0.108,0
59,3,768.0,666.05,213,231.2,3,0.005,0
60,6,692.98,630.26,38,7.6,4,0.008,0
61,5,897.63,942.39,87,80.3,5,0.044,0
62,4,785.55,1040.11,72,134.3,4,0.088,0
63,3,831.54,1003.05,310,214.2,3,0.016,0
64,4,852.69,601.61,42,12.4,4,0.042,0
65,6,521.11,428.78,14,53.9,2,0.076,0
66,5,788.08,567.49,136,92.2,1,0.087,0
67,7,796.43,589.37,51,5.3,3,0.142,0
68,2,648.75,572.18,17,225.6,2,0.027,0
69,2,647.79,817.48,89,141.2,2,0.067,0
70,3,651.99,619.96,139,202.4,3,0.233,0
71,4,568.08,554.92,36,51.9,4,0.33,0
72,3,492.94,515.5,280,98.0,3,0.084,0
73,2,1021.84,829.83,273,326.5,2,0.127,0
74,2,862.02,849.82,120,185.4,2,0.042,0
75,4,703.89,738.64,5,10.4,4,0.034,0
76,3,479.89,715.91,105,102.9,2,0.139,0
77,5,781.87,926.35,48,76.8,2,0.147,0
78,4,645.38,857.83,132,54.9,4,0.015,0
79,4,676.51,680.43,31,186.2,4,0.005,0
80,1,1037.18,1146.8,167,365.0,1,0.051,0
81,5,984.69,1036.2,72,83.0,5,0.104,0
82,5,345.24,221.74,67,108.6,1,0.035,0
83,4,754.8,383.08,12,41.2,4,0.164,0
84,5,724.84,561.78,60,71.5,5,0.036,0
85,4,753.27,940.61,82,167.2,2,0.049,0
86,2,616.33,567.63,188,93.7,2,0.002,0
87,2,700.43,809.49,88,274.8,2,0.045,0
88,8,535.92,675.75,66,27.2,5,0.066,0
89,3,855.63,636.04,94,24.1,2,0.118,0
90,7,851.04,1102.25,15,109.9,2,0.057,0
91,5,946.15,726.18,18,132.7,1,0.112,0
92,7,583.94,559.84,96,12.9,7,0.141,1
93,3,740.45,580.55,88,44.0,3,0.049,0
94,4,1006.52,1054.23,169,49.6,2,0.023,0
95,2,598.7,579.32,30,18.9,2,0.097,0
96,4,548.59,636.04,36,84.0,4,0.091,0
97,4,745.05,894.01,11,15.6,3,0.113,0
98,3,874.77,1151.23,50,90.9,3,0.283,0
99,2,599.93,690.14,9,191.7,2,0.006,0
100,3,989.93,1151.25,182,169.1,3,0.017,0
101,4,562.64,512.2,16,150.1,4,0.053,0
102,6,798.73,770.3,128,19.5,5,0.051,0
103,4,598.5,636.08,55,124.7,4,0.137,0
104,3,630.11,473.74,39,31.0,3,0.036,0
105,2,823.39,1008.37,100,311.7,2,0.13,0
106,3,668.62,650.73,111,71.1,3,0.138,0
107,7,472.13,490.48,87,26.3,7,0.042,0
108,5,580.2,404.02,37,118.0,5,0.019,0
109,1,808.25,749.46,684,365.0,1,0.126,0
110,6,759.62,890.68,43,61.7,6,0.016,0
111,4,808.84,876.7,184,100.1,4,0.02,0
112,5,609.6,710.74,3,75.1,2,0.092,0
113,6,541.01,504.51,49,8.1,5,0.012,0
114,1,577.18,592.06,144,365.0,1,0.02,0
115,6,587.45,575.26,81,33.5,2,0.01,0
116,3,692.97,785.07,55,121.2,3,0.025,0
117,3,522.4,549.66,94,106.6,3,0.014,0
118,5,859.81,793.98,164,30.2,5,0.013,0
119,1,777.36,379.33,87,230.8,1,0.177,0
120,5,570.31,589.76,10,143.6,5,0.143,0
121,3,670.21,445.29,152,234.9,3,0.17,0
122,2,566.99,645.14,101,58.6,2,0.124,0
123,4,677.6,790.35,56,94.7,4,0.106,0
124,7,574.78,312.16,108,82.9,4,0.043,1
125,6,1021.35,1082.53,66,125.4,4,0.073,0
126,4,461.38,486.75,102,72.6,4,0.012,1
127,2,509.57,547.9,348,174.0,2,0.062,0
128,3,664.33,500.6,7,169.7,3,0.006,0
129,3,714.06,782.16,36,112.5,1,0.05,0
130,4,715.02,534.96,235,85.8,4,0.068,0
131,4,837.67,953.29,35,11.6,3,0.083,0
132,3,766.38,832.87,25,201.2,3,0.012,0
133,3,561.74,524.67,22,244.1,3,0.084,0
134,8,859.32,932.33,114,35.6,1,0.022,0
135,4,794.24,643.82,82,159.2,2,0.098,0
136,4,908.03,806.58,202,60.0,4,0.031,0
137,7,707.7,872.46,179,50.2,2,0.08,0
138,3,863.52,1057.74,8,130.5,3,0.01,0
139,6,291.6,227.59,279,114.6,2,0.011,1
140,4,627.15,549.5,129,173.1,4,0.126,0
141,5,563.1,500.55,120,28.6,5,0.269,1
142,5,805.28,815.28,89,136.7,1,0.177,0
143,2,589.06,573.27,52,97.1,2,0.037,0
144,1,846.34,1065.01,164,324.8,1,0.067,0
145,7,818.11,1069.09,52,35.5,7,0.002,0
146,4,608.89,828.49,276,138.3,4,0.102,0
147,2,735.81,1053.6,116,65.6,2,0.251,0
148,2,667.83,456.83,4,21.9,1,0.038,0
149,4,717.45,690.34,119,162.7,3,0.077,0
150,6,812.45,699.7,4,83.3,5,0.015,0
151,5,651.11,534.19,127,26.4,5,0.217,0
152,4,451.59,578.82,68,18.4,4,0.265,0
153,3,789.34,855.76,413,165.1,3,0.097,0
154,2,860.87,587.26,3,176.0,2,0.157,0
155,4,445.04,675.88,78,87.8,2,0.029,0
156,8,694.52,442.35,16,68.1,2,0.096,0
157,3,560.24,520.59,47,11.0,3,0.018,0
158,6,869.04,884.3,55,119.4,6,0.01,0
159,4,877.37,678.83,85,60.8,2,0.06,0
160,2,578.55,642.2,64,291.1,2,0.13,0
161,5,502.66,440.57,4,121.8,3,0.083,0
162,2,736.7,857.97,16,252.6,2,0.169,0
163,4,533.63,576.21,201,149.7,2,0.042,1
164,3,828.66,413.63,145,63.1,3,0.017,0
165,1,680.32,469.38,264,365.0,1,0.1,0
166,6,940.83,1100.53,10,69.8,5,0.028,0
167,3,947.49,1024.07,6,222.4,3,0.125,0
168,3,932.81,741.39,2,3.5,3,0.074,0
169,7,760.44,658.65,53,31.9,7,0.374,0
170,5,558.14,548.33,62,116.4,5,0.305,0
171,1,477.53,284.12,21,365.0,1,0.077,0
172,3,789.19,1147.73,51,147.9,3,0.143,0
173,3,800.4,643.46,90,224.4,3,0.128,0
174,2,739.3,743.86,162,105.9,2,0.084,0
175,2,500.67,667.96,239,329.2,2,0.231,0
176,12,580.35,558.98,39,1.0,1,0.085,0
177,4,712.5,758.39,3,172.0,4,0.009,0
178,6,608.03,491.66,70,106.7,3,0.055,0
179,4,583.62,519.62,9,90.0,4,0.111,0
180,6,555.02,452.32,66,28.5,3,0.316,0
181,4,679.7,853.66,48,52.6,2,0.282,0
182,5,668.88,579.61,30,139.0,3,0.068,0
183,6,576.0,490.39,52,82.6,6,0.087,0
184,5,701.54,580.69,43,36.9,1,0.257,0
185,3,737.42,793.82,212,125.9,3,0.14,0
186,5,752.94,840.51,23,110.4,5,0.081,0
187,8,556.39,334.08,9,27.7,8,0.002,0
188,4,653.93,662.8,115,24.3,3,0.209,0
189,4,702.41,744.76,28,147.7,4,0.014,0
190,4,718.78,920.77,3,175.5,3,0.157,0
191,2,499.75,377.44,70,329.7,2,0.005,0
192,2,648.82,503.32,92,47.7,2,0.222,0
193,11,788.91,890.13,29,49.9,9,0.065,0
194,2,610.92,603.45,91,337.5,1,0.384,0
195,3,753.35,961.08,5,155.8,2,0.091,0
196,5,702.19,856.86,111,130.9,5,0.105,0
197,4,631.01,666.27,43,171.4,4,0.007,0
198,2,889.26,877.47,187,211.3,2,0.056,0
199,3,654.6,633.99,63,100.9,3,0.081,0
200,4,668.44,664.43,76,52.5,1,0.055,0
201,7,627.28,634.91,64,59.3,7,0.018,0
202,4,922.07,1184.19,22,104.5,1,0.464,0
203,8,908.61,538.44,22,30.2,7,0.047,0
204,7,872.02,798.86,63,83.8,5,0.046,0
205,2,830.42,864.43,249,328.4,2,0.209,0
206,4,567.37,498.97,334,96.2,4,0.142,1
207,5,632.53,596.34,66,137.9,2,0.11,0
208,4,584.4,532.83,7,34.7,4,0.225,0
209,5,854.55,1077.3,51,8.7,4,0.166,0
210,4,1050.34,961.45,56,58.5,4,0.015,0
211,4,801.89,686.28,11,147.1,1,0.031,0
212,4,951.4,1099.92,368,101.0,4,0.172,0
213,4,768.6,686.39,33,151.6,4,0.022,0
214,6,747.52,722.35,85,52.0,6,0.034,0
215,5,612.98,477.3,14,112.8,5,0.223,0
216,5,791.95,727.68,114,50.1,4,0.354,0
217,5,836.95,831.11,317,63.6,5,0.119,0
218,3,858.06,640.99,504,175.0,3,0.06,0
219,3,715.51,701.19,16,135.1,3,0.064,0
220,2,729.69,804.59,116,51.3,2,0.28,0
221,4,690.85,415.68,112,181.0,2,0.162,0
222,8,615.31,535.04,105,26.5,5,0.035,0
223,2,832.19,1257.27,58,136.2,2,0.059,0
224,6,415.71,398.7,41,98.8,5,0.011,0
225,1,449.14,551.44,75,234.1,1,0.054,0
226,2,617.95,614.54,209,265.9,2,0.034,0
227,2,508.96,475.37,238,345.9,2,0.023,0
228,6,862.9,1023.98,22,102.1,6,0.111,0
229,8,633.59,785.28,51,12.3,2,0.043,0
230,5,831.56,683.15,12,69.1,5,0.006,0
231,4,895.71,699.07,1,7.7,4,0.013,0
232,3,709.21,515.12,113,112.5,2,0.133,0
233,4,749.06,617.49,188,93.2,4,0.041,0
234,3,884.01,1084.9,166,56.8,2,0.011,0
235,3,849.89,855.19,116,173.8,2,0.292,0
236,3,389.36,481.56,198,176.6,3,0.067,0
237,3,638.16,506.26,62,207.3,3,0.026,0
238,2,776.89,621.05,299,312.6,2,0.139,0
239,4,732.35,674.87,153,116.8,4,0.105,0
240,4,551.11,583.84,37,85.1,4,0.015,0
241,8,443.87,431.45,59,13.4,7,0.064,0
242,4,791.68,902.19,5,143.5,4,0.122,0
243,6,573.49,621.02,12,53.8,6,0.007,0
244,5,679.85,746.14,64,21.1,4,0.002,0
245,6,721.71,820.57,0,107.1,4,0.042,0
246,6,675.59,823.72,18,70.7,6,0.072,0
247,7,560.24,284.57,10,45.6,5,0.172,0
248,2,687.59,685.89,82,47.0,2,0.108,0
249,3,618.33,722.55,13,180.7,2,0.211,0
250,4,948.37,1427.08,2,140.7,1,0.061,0
251,4,732.0,717.35,274,82.3,4,0.031,0
252,1,1084.97,608.1,371,365.0,1,0.033,0
253,2,502.24,645.41,63,238.3,2,0.002,0
254,6,654.87,495.41,8,110.2,3,0.113,0
255,4,654.35,714.63,116,32.8,4,0.093,0
256,6,583.47,646.24,144,12.2,4,0.118,1
257,4,647.31,663.65,153,33.6,4,0.016,0
258,3,628.0,360.02,16,105.8,3,0.157,0
259,7,553.19,513.02,66,90.0,6,0.042,0
260,6,969.2,664.96,45,100.6,6,0.034,0
261,1,687.48,749.87,30,365.0,1,0.12,0
262,3,839.05,690.51,197,94.0,3,0.213,0
263,5,848.54,488.05,137,139.3,1,0.001,0
264,1,914.22,1044.33,411,365.0,1,0.077,0
265,4,552.65,412.57,9,56.1,4,0.041,0
266,2,889.96,913.92,39,87.1,2,0.057,0
267,2,688.9,587.36,250,125.5,2,0.093,0
268,2,1005.35,1179.86,72,116.5,1,0.113,0
269,3,778.73,907.4,77,40.2,3,0.014,0
270,7,527.08,552.16,68,32.2,3,0.014,0
271,5,888.68,869.58,47,111.9,5,0.172,0
272,2,873.89,796.85,5,163.4,2,0.219,0
